Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Status,Expiry Date
T0400065D,2004-01-02,,,"Furniture, mirrors, picture frames, goods (not included in other classes) of wood, cork, reed, cane, wicker, horn, bone, ivory, whalebone, shell, amber, mother-of-pearl, meerschaum and substitutes for all these materials, or of plastic.",HOCK CHUAN KIAT JOSS STICKS TRADING PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400065D/34a12272-cf43-4ce4-8bfb-a98f40d600ec/T0400065D.jpg,Registered,2024-01-02
T0400066B,2004-01-02,,,Joss sticks.,HOCK CHUAN KIAT JOSS STICKS TRADING PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400066B/1d68dff9-9d8d-4d92-b9e8-c443e644e753/T0400066B.jpg,Registered,2024-01-02
T0400067J,2004-01-02,,,"Picture frames, joss sticks for praying goods, goods (not included in other classes) of wood, cork, reed, cane, ivory, wicker, shell, mother-of-pearl, meerschaum and substitutes for all these materials, or of plastics.",HOCK CHUAN KIAT JOSS STICKS TRADING PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400067J/c20d3b0a-f7d0-49e6-bd61-6c4ea84f319a/T0400067J.jpg,Registered,2024-01-02
T0400553B,2004-01-02,, ,Photographic developing; photographic retouching; photographic printing; lithographic printing; offset printing; photographic film development.,RIVER VALLEY PROJECTS LTD,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400553B/bd5605fb-2375-469d-95ad-a699ba01d32d/T0400553B.jpg,Removed,2014-01-02
T0400554J,2004-01-02,, ,Photography; portrait photography; digital photography and video photography.,RIVER VALLEY PROJECTS LTD,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400554J/fc75e91d-6028-43f1-a752-9ad544812a23/T0400554J.jpg,Removed,2014-01-02
T0400555I,2004-01-02,picture house,,Photographic developing; photographic retouching; photographic printing; lithographic printing; offset printing; photographic film development.,RIVER VALLEY PROJECTS LTD,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400555I/be6936f9-fe05-4791-be4d-3f483a61cde5/T0400555I.jpg,Removed,2014-01-02
T0400556G,2004-01-02,picture house, ,Photography; portrait photography; digital photography and video photography.,RIVER VALLEY PROJECTS LTD,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400556G/0e01212c-5827-4e67-8d01-500d6022ec9f/T0400556G.jpg,Removed,2014-01-02
T0400015H,2004-01-03,bio dynamic,,"Air freshing preparations; air purifying preparations; antiparasitic preparations; chemical preparations for veterinary purposes; disinfectants for hygiene purposes; dog lotions; dog washes; repellents for dogs against mites, ticks, fleas and lices; fungicides; herbicides; insect repellents; insecticides; repellents for dogs; repellents (insect-); vitamin preparations.",INTERNATIONAL BIO DYNAMIC,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400015H/315aec7b-36d3-4b9d-85f9-143b1fbc96de/T0400015H.jpg,Removed,2014-01-03
T0400016F,2004-01-03,powerpac,,"Bicycle lights; bread toasters; ceiling lights; chinese lanterns; cookers; cooking apparatus and installations; cooking rings; cooking utensils, electric; curling lamps; cycle lights; deep fryers, electric; electric lamps; fairy lights for festive decoration; fans (electric-) for personal use; hair driers [dryers]; hanging for lamps; heaters, electric, for feeding bottles; kettles, electric; kitchen ranges [ovens]; lamp glasses; lamps; lamps (burners for-); lamps (electric-); light bulbs; light bulbs, electric; lights, electric, for Christmas trees; microwave ovens [cooking apparatus]; pocket searchlights; pocket torches, electric; pressure cookers; [autoclaves], electric; pressure cooking saucepans, electric; reflectors (lamps-); reflectors (vehicle-); roasters; roasters (coffee-); search lights; sockets for electric lights; sterilizers; toasters; torches for lighting; tubes (luminous) for lighting; waffle irons, electric; warming pans; water heaters; arc lamps; automobile lights; coffee machines, electric; discharge tubes, electric, for lightings; filaments for electric lamps; flashlights [torches]; hot plates; lamp casings; laundry dryers, electric; light bulbs for directional signals for vehicles; safety lamps; standard lamps; water sterilizers.",EVERSON ELECTRICAL (S) PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400016F/f4441438-3bf1-4679-b073-64a81e69ef68/T0400016F.jpg,Registered,2024-01-03
T0400047F,2004-01-03,life's for living,,"Printed matters including stationary templates, posters, signboards of paper or cardboard, pamphlets, printed publications.",ASTRAZENECA AB,Sweden,https://ipos-storage.data.gov.sg/trademarks/T0400047F/35641b76-39c1-4f4b-b9ed-a144739d7b43/T0400047F.jpg,Removed,2014-01-03
T0400011E,2004-01-05,jasa,,Plastic fork; spoon; knife; plastic stirrer; chinese spoon; soup spoon.,GREATPAC SDN BHD,Malaysia,https://ipos-storage.data.gov.sg/trademarks/T0400011E/4fd3fba1-56bf-4b6b-848f-3665eaa97708/T0400011E.jpg,Removed,2014-01-05
T0400012C,2004-01-05,jasa,,"Polystyrene foam food box; polystyrene foam plate; polystyrene foam bowl, cup and container; polystyrene foam food tray; polypropylene container; plastic cup; plastic plate.",GREATPAC SDN BHD,Malaysia,https://ipos-storage.data.gov.sg/trademarks/T0400012C/cfc0ade6-8842-4dea-a2d3-b98613bfd16b/T0400012C.jpg,Removed,2014-01-05
T0400013A,2004-01-05,poseidon marine lubricants,,Industrial oils and greases; lubricants.,DISTINCT HOLDINGS LIMITED,Samoa,https://ipos-storage.data.gov.sg/trademarks/T0400013A/4941968f-165c-4965-b794-024205244802/T0400013A.jpg,Removed,2014-01-05
T0400014Z,2004-01-05,trident lubricants,,"Industrial oils, greases and lubricants.",DISTINCT HOLDINGS LIMITED,Samoa,https://ipos-storage.data.gov.sg/trademarks/T0400014Z/3f285933-ad2a-434d-93f5-9afbf9b928fa/T0400014Z.jpg,Removed,2014-01-05
T0400017D,2004-01-05,v,,"Vegetable food products, preserved, dried and cooked fruits and vegetables; beancurd; vegetable [preserved, dried and cooked] and vegetable extracts for soup preparation; vegetable ingredients for making soups; vegetable soup powders; granulated vegetable stock for the production of drinking soups; canned vegetables; frozen vegetables; mixed vegetables; vegetable juices for cooking; vegetable pastes [puree], vegetable pate; vegetable pulps [puree] for food; pickled vegetables; prepared vegetable food products; processed vegetables; cooked or preserved root vegetables; vegetable burgers; vegetable fats for cooking; vegetable lard; vegetable oils [edible]; canned fruits; seaweed [edible] and seaweed extracts for food; dates; pickles; all included in Class 29.",VEGETALK FOOD SUPPLIES PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400017D/1d33c20e-5547-40a3-a2ca-26bdf4b709ca/T0400017D.jpg,Registered,2024-01-05
T0400018B,2004-01-05,louis,,"Bath fittings; bath fittings (hot air -); bath installations; bath installations (sauna); bath linings; bath plumbing fixtures; bath tubs; bath tubs for sitz baths; bath (heaters for -); bath (spa -) [vessels]; boilers [other than parts of machines]; flushing apparatus; flushing tanks; heaters for baths; laboratory burners; mixer taps for water pipes; sanitary apparatus and installations; seats (toilet -); sewage (purification installation for -); showers cubicles [enclosures (am.)]; showers; sinks; taps [faucets]*; thermostatic valves [parts of heating installations]; toilet bowls; toilet seats; toilets, portable; toilets [water-closets]; urinals [sanitary fixture]; valves (level controlling -) in tanks; wash hand bowls [parts of sanitary installations]; washrooms (hand drying apparatus for -); water closets; water heaters [apparatus].",FULLSUN MARKETING PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400018B/ab9390f5-97f6-4b18-b169-839d450c47fe/T0400018B.jpg,Abandoned ,
T0400019J,2004-01-05,nufresh,,"Milk and milk products, coconut butter, coconut fat, coconut oil.",NEO BOK TIAM ENTERPRISE CO,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400019J/3423a20d-4f5e-441a-a066-941166c56103/T0400019J.jpg,Removed,2014-01-05
T0400020D,2004-01-05,q quality,,"Cardboard and cardboard articles, packaging paper, paper and paper articles, printed matter, stationery; all included in class 16.",DOUBLE A (1991) PUBLIC COMPANY LIMITED,Thailand,https://ipos-storage.data.gov.sg/trademarks/T0400020D/9b470302-e654-4dbb-8d80-fa55ca4f01df/T0400020D.jpg,Registered,2024-01-05
T0400076Z,2004-01-05,ionizer,,"Electric vacuum cleaners, parts and fittings thereof; all included in Class 7.",PANASONIC CORPORATION,Japan,https://ipos-storage.data.gov.sg/trademarks/T0400076Z/7f71b47a-674d-44e1-80f3-c7f7d7f89483/T0400076Z.jpg,Abandoned ,
T0400077H,2004-01-05,noodles,,"Audio and video equipment accessories, namely cables, plugs, connectors, fibre optic connectors; all included in Class 9.",SPHEREX INC.,Canada,https://ipos-storage.data.gov.sg/trademarks/T0400077H/3c4fe1eb-ad8f-4032-b61c-bbc17db7c9a9/T0400077H.jpg,Removed,2013-08-14
T0400078F,2004-01-05,elson,,Compact disc players [CDP]; digital versatile disc [DVD] players; satellite television receiving apparatus; television receivers [television sets]; record players; sound recording apparatus; cassette players; moving picture experts group layer-3 players; telephone sets; voice frequency transmission machines and apparatus; sound recorders [except for movies]; audio and video receivers.,"ELSON CO., LTD",KOREA                                             ,https://ipos-storage.data.gov.sg/trademarks/T0400078F/db62ef5b-a362-4bd2-a05a-4ead15c07e8c/T0400078F.jpg,Removed,2014-01-05
T0400079D,2004-01-05,chillies,,"Medicated plasters, medicated patches, medicated cataplasms, medicated poultices, medicated gels, medicated creams, medicated lotions, medicated aerosols, medicated spray, medicated liniments, medicated ointments, medicated pads, transdermal anti-inflammatory analgestic pharmaceutical preparations.","HISAMITSU PHARMACEUTICAL CO., INC.",Japan,https://ipos-storage.data.gov.sg/trademarks/T0400079D/3a426391-9016-4b0d-8f0e-e82ffc802b25/T0400079D.jpg,Registered,2024-01-05
T0400021B,2004-01-06,s sound tec,,AC adaptor plugs and sockets; AC/DC converters; AC/DC inverters; audio video cables; audio video splitters and selectors; battery charger; digital timer; doorbells; earphones; headphones; home hi-fi system and speakers; intercoms; karaoke mixer amplifier; megaphone; microphone; multimeter; public address amplifier; portable television; telephone accessories.,HEAN LEE RADIO SERVICE PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400021B/eae1cb53-95d7-42b0-ac6b-0e68fbe42021/T0400021B.jpg,Abandoned ,
T0400080H,2004-01-06,metric-e,,Motors including metric and electric motors.,BALDOR ELECTRIC COMPANY,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400080H/f955e0e4-c53f-4153-82f3-481b9b9eaad5/T0400080H.jpg,Registered,2024-01-06
T0400081F,2004-01-06,aire3,,"Apparatus for humidifying, ventilating, water supply and sanitary purposes; air purifying apparatus and machines; air filtering installations.",ROYALE WINGS INTERNATIONAL PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400081F/dc8933ce-7cc2-40a7-88ca-d33c8609bee2/T0400081F.jpg,Abandoned ,
T0400082D,2004-01-06,air cube,,"Apparatus for humidifying, ventilating, water supply and sanitary purposes; air purifying apparatus and machines; air filtering installations.",GOODAIRE PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400082D/df5a867b-46ae-48dc-833b-eb4ff99ed03b/T0400082D.jpg,Removed,2014-01-06
T0400083B,2004-01-06,vogue,,"Cigarettes, tobacco, tobacco products, smokers' articles, lighters, matches.",AMERICAN-CIGARETTE COMPANY (OVERSEAS) LIMITED,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0400083B/129ffb77-dc2b-42d7-af98-3515922cb9ca/T0400083B.jpg,Removed,2014-01-06
T0400084J,2004-01-06,nanobreaker,,"Television and video apparatus and instruments; electronic and video amusement apparatus adapted for use with any of the aforesaid goods; electrical and electronic amusement apparatus; printed and electronic circuits for television and video game machines; computers; computer programs; tapes, discs, compact disc read-only-memory, digital versatile disc read-only-memory, digital versatile disc random-access-memory, cards, wire and filaments, all being magnetic or encoded and for bearing recorded data; computer hardware and firmware memory devices and plug-in cartridges; computer game programs; video game software; video game programs; game discs and circuit boards containing game programs for use with hand-held game machines; program memory cartridges for electronic amusement apparatus adapted for use with liquid crystal displays; downloadable electronic game programs; downloadable computer game programs; downloadable video game programs; parts and fittings for all the aforesaid goods; all included in Class 9.","KONAMI DIGITAL ENTERTAINMENT CO., LTD",Japan,https://ipos-storage.data.gov.sg/trademarks/T0400084J/7513a2fe-cecb-4776-954c-20ab7aa5bf01/T0400084J.jpg,Removed,2014-01-06
T0400085I,2004-01-06,streeter,,"Competitions (organisation of-) [education or entertainment], entertainer services, entertainment, entertainment information, exhibitions(organisation of-) for cultural or educational purposes, information (education-), information (entertainment), information (recreation-), organisation of competitions [education or entertainment], organisation of exhibitions for cultural educational purposes, organisations of shows [impresario services], party planning [entertainment], performances (presentation of live-), planning (party-) [entertainment], show (productions of-).",77TH STREET (S) PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400085I/ff45cb75-5559-4636-8f30-fecb691e6587/T0400085I.jpg,Removed,2014-01-06
T0400086G,2004-01-06,mansion mayfair london,,Backgammon games; balls for games (small-); billiard balls; billiard cue tips; bingo cards; board games; chess games; counters [discs] for games; darts; dice; dice (cups for-); dominoes; draughtboards; games; games (balls for-); games (bats for-); games (marbles for-); games other than those adapted for use with television receivers only (apparatus for electronic-); mah-jong; playing balls; playing cards; ring games; roulette wheels; roulette chips; poker chips.,UPPER ASSETS LIMITED,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400086G/c6043b57-3b88-4e73-8034-3e0065ad9893/T0400086G.jpg,Registered,2024-01-06
T0400087E,2004-01-06,mansion mayfair london,,"Tobacco; cigarettes; cigars; smokers' articles, not of precious metal.",PROVENT HOLDINGS LTD.,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400087E/1791e169-f3dd-4cde-9657-2dc99fb3ddd9/T0400087E.jpg,Removed,2014-01-06
T0400088C,2004-01-06,streeter,,"Blouses, dresses, jackets, pants, shirts, shorts, skirts, T-shirts, footwear, bermuda shorts, sport clothing, [other than golf gloves], vests, caps and headbands, belts[clothings].",77TH STREET (S) PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400088C/15e1ce02-d764-439a-9887-24cba5317f8e/T0400088C.jpg,Withdrawn,
T0400089A,2004-01-06,mansion mayfair london,,Casino facilities [gambling] (providing-); gambling services; gaming; gaming machine entertainment services; gaming services for entertainment purposes; bingo hall services; club services [entertainment or education]; club recreation facilities (provision of-); club sporting facilities (provision of-); club [cabaret] facilities; betting on horses; night clubs; night club services [entertainment]; cruise ship entertainment services; entertainment; entertainment services relating to amusement machines; entertainer services; provision of entertainment facilities; providing on-line electronic publications [not downloadable]; publication of electronic books and journals on-line; operating of lotteries; organization of sports competitions; electronic games services provided by means of the Internet; internet games (non-downloadable); provision of games by means of a computer based system.,UPPER ASSETS LIMITED,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400089A/45823d94-bda2-47f3-ab1d-207e352d5294/T0400089A.jpg,Registered,2024-01-06
T0400090E,2004-01-06,orangedot,,Education; providing of training; entertainment and cultural activities.,ORANGEDOT PRODUCTIONS PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400090E/f18bead3-1ce6-4cc0-b415-c978c6b31ae5/T0400090E.jpg,Registered,2024-01-06
T0400091C,2004-01-06,mansion mayfair london,,"Club services for the provision of food and drink; country club services [provision of food, drink and temporary accommodation]; night club services [provision of food]; social clubs [provision of accommodation]; social clubs [provision of food]; hospitality services [accommodation]; hospitality services [food and drink]; cocktail lounge services; bar services; restaurant services incorporating licenced bar facilities.",UPPER ASSETS LIMITED,"Virgin Islands, British",https://ipos-storage.data.gov.sg/trademarks/T0400091C/7d578b70-4b5d-47c1-a793-e5def85548f6/T0400091C.jpg,Registered,2024-01-06
T0400092A,2004-01-06,orangedot,,Education; providing of training; entertainment and cultural activities.,ORANGEDOT PRODUCTIONS PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400092A/667264cf-40b2-4ccd-a4bf-d02986f91b4d/T0400092A.jpg,Registered,2024-01-06
T0400093Z,2004-01-06,odp,,Education; providing of training; entertainment and cultural activities.,ORANGEDOT PRODUCTIONS PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400093Z/61c86901-63de-4f77-8ada-4ae95e2b5db1/T0400093Z.jpg,Registered,2024-01-06
T0400175H,2004-01-06,assomull & partners,,Legal services; advocates' services; solicitors' services.,ASSOMULL & PARTNERS,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400175H/91bb3b61-1b83-46f7-842b-806b6a7c5671/T0400175H.jpg,Registered,2024-01-06
T0400049B,2004-01-07,wonder farm,,"Edible oils; edible fats; margarine; shortening; vegetable ghee [edible fats]; vanaspati [edible fats]; hydrogenated vegetable oils; nuts, prepared; cashew kernels, processed; peanuts, processed; peanut butter; fruit, preserved; raisins; fruits, tinned; salads; potato chips; vegetables, dried; vegetables, preserved; vegetables, cooked; garden herbs, preserved; mushrooms, preserved; tofu; beans, preserved; albumen for food; eggs; milk; milk beverages [milk predominating]; milk products; cheese; yogurt; crustaceans [not live]; shellfish [not live]; fish (food products made from -); fish, preserved; meat; poultry, not live; meat extracts; soups; fruit jellies; jams; cranberry sauce [compote]; jellies for food.",WILMAR TRADING (CHINA) PTE.LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400049B/d9893bcd-726f-483b-aab9-eaca49451f8b/T0400049B.jpg,Abandoned ,
T0400050F,2004-01-07,wonder farm,,"Flour; bread; cakes; candy for food; edible ices; cereal preparations; pastry; noodles; pasta; chocolate; cocoa; cocoa-based beverages; coffee; coffee-based beverages; tea; sugar; rice; sago; starch products for food; honey; yeast; leaven; salt; mustard; vinegar; condiments; dressings for salad; sauces [condiments]; seasonings; spices; essences for foodstuffs [except etheric essences and essential oils]; flavourings, other than essential oils; ice.",WILMAR TRADING (CHINA) PTE.LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400050F/feb4f95f-8ab5-46f4-b2cc-6a301e376ffc/T0400050F.jpg,Registered,2024-01-07
T0400094H,2004-01-07,gradient,,"Hair ornaments including wigs, hair pieces.",Aderans Company Limited,Japan,https://ipos-storage.data.gov.sg/trademarks/T0400094H/0866d373-c76e-4373-bdb7-aa7511b22bf3/T0400094H.jpg,Registered,2024-01-07
T0400095F,2004-01-07,sjb,,"Men's and women's woven and knit tops, bottoms, shirts, sweaters, pants, jackets, underwear, socks.","J. C. PENNEY CORPORATION, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400095F/bb192af7-0ab8-4cbb-afc7-2cc02716025e/T0400095F.jpg,Removed,2014-01-07
T0400096D,2004-01-07,k2,,"Helmets for sports; eyewear, namely eyeglasses, sunglasses, safety glasses, protective glasses, and goggles.",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400096D/cec8f19b-78fc-4227-b9d2-d199b14c28c2/T0400096D.jpg,Registered,2023-12-04
T0400097B,2004-01-07,k2,,"Bicycles and parts therefore; mountings for accessories for bicycles including hardware for attachment to a bicycle and sold as a unit; roof racks in the nature of load carriers for vehicles to carry skis, snowboards and bicycles.",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400097B/db91c85b-5346-4627-b8c0-36b9f639af52/T0400097B.jpg,Registered,2023-12-04
T0400098J,2004-01-07,k2,,"Stickers, decals, posters, pictures, photographs, trade brochures about the sporting industry, sporting events, and sporting goods; pens.",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400098J/5de5783f-8775-410d-8411-9e9b30ee2a08/T0400098J.jpg,Registered,2023-12-04
T0400099I,2004-01-07,moshi mochi,,Dairy ice cream; frozen confectionery containing ice cream; ice cream; ice cream cones; ice cream desserts; ice cream products; ice cream with pastries; frozen desserts; all included in Class 30.,"FRASER AND NEAVE, LIMITED",Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400099I/9822faa1-9903-4589-82fd-e6a2404fd5e5/T0400099I.jpg,Removed,2014-01-07
T0400100F,2004-01-07,k2,,"Backpacks, luggage, all-purpose sport bags, knapsacks, tote bags; ski and ski pole storage and carrying bags [not shaped to contain specific apparatus used in playing sports]; in-line skate storage and carrying bags [not shaped to contain specific apparatus used in playing sports]; snowboard storage and carrying bags [not shaped to contain specific apparatus used in playing sports]; snowboard boot storage and carrying bags [not shaped to contain specific apparatus used in playing sports]; hydration packs [travelling bags for carrying water].",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400100F/00acc5a5-f18d-46a4-b03b-b4d7367b5451/T0400100F.jpg,Registered,2023-12-04
T0400101D,2004-01-07,mushi mushi jelly ice cream,,Dairy ice cream; frozen confectionery containing ice cream; ice cream; ice cream cones; ice cream desserts; ice cream products; ice cream with pastries; frozen desserts; all included in Class 30.,"FRASER AND NEAVE, LIMITED",Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400101D/c431a2b4-63e5-402d-bdc2-6a419c5e9f42/T0400101D.jpg,Removed,2014-01-07
T0400102B,2004-01-07,k2,,"Water bottles, cups, mugs.",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400102B/4fd36b0e-bc11-4a88-882d-e8740d16deb2/T0400102B.jpg,Registered,2023-12-04
T0400103J,2004-01-07,k2,,"Footwear; snowboard boots; ski boots; snowshoe boots; clothing namely t-shirts, shirts, sweaters, sweatshirts, vests, jackets, coats, parkas, snowboard pants, pants, hats, caps, beanies [headwear], headbands, visors, gloves, mittens, scarves, ski clothing, snowboard clothing, winter sports clothing, thermal clothing [other than for protection against accident or injury], socks, shorts, bicycle shorts, bib shorts, bicycle jerseys, leg warmers, gloves for cyclists, aprons; moisture absorbent inserts for use with footwear [other than orthopaedic].",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400103J/2e2a4ddb-32ea-4246-bf35-dc4d0f49f72c/T0400103J.jpg,Registered,2023-12-04
T0400104I,2004-01-07,stabinex,,Stabilizer for polyvinylchloride.,"MIZUSAWA INDUSTRIAL CHEMICALS, LTD.",Japan,https://ipos-storage.data.gov.sg/trademarks/T0400104I/14f535b6-ab47-4114-9bd8-e8c02031e2a8/T0400104I.jpg,Registered,2024-01-07
T0400105G,2004-01-07,ignatius wong,,Amplifiers; Amplifying tubes; Amplifying valves; Amusement apparatus adapted for use with television receivers only; Answering machines; Audiovisual teaching apparatus; Cables (Fibre [fiber (Am.)] optic-); Cinematographic cameras; Cameras [photography]; Capillary tubes; Cases especially made for photographic apparatus and instruments; Cassette players; Central processing units [processors]; Cinematographic cameras; Apparatus for editing cinematographic film; Cinematographic film [exposed]; Compact disc players; Compact discs [audio-video]; Compact dics [read-only memory]; Editing appliances for cinematographic films; Fluorescent screens; Fuse wire; Apparatus for games adapted for use with television receivers only; Loudspeakers; Magnetic data media; Magnetic tapes; Microphones; Optical apparatus and instruments; Radio pagers; Radios; Vehicle radios; Remote control apparatus; Sound recording apparatus; Sound recording carriers; Sound recording discs; Sound recording strips; Sound reproduction apparatus; Sound transmitting apparatus; Sounding apparatus and machines; Telephone apparatus; Telephone receivers; Telephone transmitters; Telephone wires; Television apparatus; Transmitters [telecommunication]; Transmitting sets [telecommunication]; Video cassettes; Video recorders; Video screens; Video telephones; Videotapes; Walkie-talkies.,IGNATIUS WAN CHIU WONG,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/T0400105G/2ca164e4-2ac7-408b-ba67-1bbc3ae22001/T0400105G.jpg,Application Deemed Never Made,
T0400106E,2004-01-07,k2,,"Sports equipment namely, snow skis, nordic skis, ski poles, ski bindings, snowboards, snowboard bindings, in-line skates, ice skates, skateboards, snowshoes, snowshoe bindings; knee pads, wrist pads and elbow pads, all for athletic use and protective gloves for skating; ski and snowboard wax; apparatus for skiing and snowboard, namely true bars, structuring tools, standing blocks, vises, clamps, wax irons, planers, buffing pads, and brake pads; all included in Class 28.",K-2 CORPORATION,United States of America,https://ipos-storage.data.gov.sg/trademarks/T0400106E/c295aaf5-6bcb-4889-94b8-21ca56ded26a/T0400106E.jpg,Registered,2023-12-04
T0400107C,2004-01-07,mochi ice,,Dairy ice cream; frozen confectionery containing ice cream; ice cream; ice cream cones; ice cream desserts; ice cream products; ice cream with pastries; frozen desserts; all included in Class 30.,"FRASER AND NEAVE, LIMITED",Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400107C/38f6e66c-2e01-4a17-9c98-aa7aeccafe5d/T0400107C.jpg,Removed,2014-01-07
T0400108A,2004-01-07,vinci v da,,"Leather and imitations of leather and goods made of these materials not included in other classes; bags, attache cases, briefcases, wallets, backpacks, trunks, travelling bags, sports bags, waist-pouches; credit card cases [wallets]; shopping bags, key holders, purses, ticket cases; umbrellas.",DA VINCI COLLECTION PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400108A/0f350415-c028-4cb1-90e5-388e8b3105d9/T0400108A.jpg,Withdrawn,
T0400109Z,2004-01-07,vinci v da,,Articles of clothing; footwear; headgear.,DA VINCI COLLECTION PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400109Z/76567920-4178-42fc-a97b-eac5858ab3dc/T0400109Z.jpg,Treated As Withdrawn ,
T0400110C,2004-01-07,walking culture,,"Leather and imitations of leather and goods made of these materials and not included in other classes; bags, attache cases [notecases], briefcases, wallets, backpacks, trunks, travelling bags, sports bags, waist pouches; card cases [notecases], shopping bags, key holders, purses, ticket cases; umbrellas.",WALKING CULTURE INTERNATIONAL PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400110C/bcf94fdd-71f9-41fb-b158-e5379304c3c7/T0400110C.jpg,Removed,2014-01-07
T0400111A,2004-01-07,walking culture,,Articles of clothing; footwear; headgear.,WALKING CULTURE INTERNATIONAL PTE LTD,Singapore,https://ipos-storage.data.gov.sg/trademarks/T0400111A/f5050c7b-3c55-43bc-b4e4-99a4f33f304c/T0400111A.jpg,Removed,2014-01-07
T0400112Z,2004-01-07,kids we care,,"Liquid crystal displays, computer screen displays, liquid crystal display panels, displays, computer monitors, liquid crystal displays for mobile phones, televisions, video cassette recorders, computers, liquid crystal displays for personal digital assistants, billboard type displays, computer touch input devices, closed-circuit television monitors, color filters for liquid crystal displays, filters for liquid crystal displays, liquid crystal displays for electronic dictionaries, liquid crystal projectors, language learning machines, apparatus for video games adapted for use with television receivers only, audio-visual apparatus for teaching purposes.",HANNSTAR DISPLAY CORPORATION,TAIWAN                                            ,https://ipos-storage.data.gov.sg/trademarks/T0400112Z/224af67d-aff3-4c53-bad3-4162f752e17f/T0400112Z.jpg,Registered,2024-01-07
T0400113H,2004-01-07,,,"Liquid crystal displays, computer screen displays, liquid crystal display panels, displays, computer monitors, liquid crystal displays for mobile phones, televisions, video cassette recorders, computers, liquid crystal displays for personal digital assistants, billboard type displays, computer touch input devices, closed-circuit TV monitors, color filters for liquid crystal displays, filters for liquid crystal displays, liquid crystal displays for electronic dictionaries, liquid crystal projectors, language learning machines, apparatus for video games adapted for use with television receivers only, audio- visual apparatus for teaching purposes.",HANNSTAR DISPLAY CORPORATION,TAIWAN                                            ,https://ipos-storage.data.gov.sg/trademarks/T0400113H/ea6864ac-d2c1-4638-a98e-8af074a622e4/T0400113H.jpg,Registered,2024-01-07
